pid,title,titlePrefix,name,price,detail
1,입기만해도 잠이 오는 수면 잠옷!,,잠이 솔솔 수면 잠옷,50000,설명
2,"고양이가 쏙 담기는 크기, 아늑한 종이 가방",,아늑한 종이가방,10000,설명
3,덮기만 해도 잠이 와요 :D,,노곤노곤 담요,30000,설명
4,"냥냥워킹보다 빠른 속도, 체험해보세요!",,냥이워킹보다 빠른 태블릿,1500000,설명
5,내 손목에 꼭 맞는 부드러운 인체공학적 손목 쿠션!,"내 손에 맞게 맞춰지는 쿠션 감도.
따뜻한 발열기능, 부드러운 촉감까지!",부드러운 인체공학적 손목 쿠션,3000000,설명
6,모델도 못먹는 맛있는 피자 세트,,피자세트,100000,설명
7,당신의 근육 파트너! 운동 안할 시 냥냥펀치 기능 탑재,운동할 EO 박스에서 지켜보는 기능이 있습니다.,근육파트너,3000000,설명
8,"아무리 밟아도 끄떡없는 노트북! 단, 당신이 작성중인 파일은...",70%확률로 중요한 작업 중 화면을 가립니다,밟혀도 끄떡없는 노트북,3000000,설명
9,너무 푹신해서 당신이 앉을 자리가 사라지는 방석!,,푹신푹신 방석,50000,설명
10,집사 손을 팝니다.,모델 피셜 : 갖고 놀기 좋아요.,집사 손,100000000,설명
11,어..? 몸이 왜 멋대로..!!,[모델소장] 뒹굴뒹굴 소파,어..미니소파,500000,설명
12,모델도 못먹는 맛있는 돈오덮 세트,,돈까스오징어덮밥,100000,설명
13,부들부들 수면양말,꾹꾹이하기 좋아요.,포근한 수면양말,20000,설명
14,잠이 솔솔오는 차렵이불 XD 모델소장제품!,,불면증 해결 차렵 이불,200000,설명
15,가르쳐주지 않아도 이불을 덮고 잘 수 있어요!,,혼자서도 잘덮어요 푹신푹신 이불,600000,설명
16,2020 winter season folderable bag,,냥냥 폴더블 백,300000,설명
17,100%확률로 가위바위보 이기는 비책을 알려드립니다! 오직 여기에서만!,,가위바위보 100%이기는 비책,10000000,설명
18,묘기가 가능한 의자 장난감,묘기부리기가 가능해요! / 타고오르기 주 용도,장난감 의자,500000,설명
